function,found_goal,steps_to_goal,live_lock,seed,infrence_time
Value Iteration,True,13,False,97027,0.0019120619847224308
Neural Network,False,6,True,97027,0.0013754708426339285
Value Iteration,True,7,False,67918,0.0016982895987374441
Neural Network,False,6,True,67918,0.001369748796735491
Value Iteration,False,28,True,8881,0.0016881597453150257
Neural Network,False,6,True,8881,0.0012884821210588729
Value Iteration,True,19,False,93025,0.0017941876461631374
Neural Network,False,6,True,93025,0.0014041151319231307
Value Iteration,True,10,False,11903,0.0016523122787475586
Neural Network,False,6,True,11903,0.0013547624860491072
Value Iteration,True,9,False,61364,0.0016439755757649739
Neural Network,False,6,True,61364,0.0013073171888078963
Value Iteration,True,15,False,30577,0.0017888228098551433
Neural Network,False,6,True,30577,0.0013475758688790457
Value Iteration,True,24,False,97286,0.0016881426175435383
Neural Network,False,6,True,97286,0.0013253348214285715
Value Iteration,True,16,False,96905,0.0015497058629989624
Neural Network,False,6,True,96905,0.001382861818586077
Value Iteration,True,11,False,49831,0.0015169056979092684
Neural Network,False,6,True,49831,0.0013270037514822824
Value Iteration,True,12,False,14187,0.0016464591026306152
Neural Network,False,6,True,14187,0.001320157732282366
Value Iteration,True,19,False,85105,0.001714166842008892
Neural Network,False,6,True,85105,0.001400130135672433
Value Iteration,True,18,False,85097,0.0015578269958496094
Neural Network,False,6,True,85097,0.0014421258653913225
