seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_replan
6193,VIN_REPLAN,0.004457816481590271,16,True,,Goal Reached,,"[(0, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (1, 4), (2, 4), (3, 4), (3, 5), (3, 6), (3, 7), (2, 7), (1, 7), (2, 7)]"
15911,VI,0.024153669675191242,7,True,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (3, 3)]",Goal Reached,,
15911,VIN,0.008822480837504068,7,True,,Goal Reached,"[(0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (3, 2), (3, 3)]",
15911,VIN_REPLAN,0.006699698311941964,7,True,,Goal Reached,,"[(0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (3, 2), (3, 3)]"
9241,VI,0.017580154330231423,44,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (5, 4), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (6, 10), (6, 11), (5, 11), (5, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5), (14, 4), (14, 3), (13, 3), (12, 3), (12, 2), (13, 2)]",Goal Reached,,
9241,VIN,0.00742645141405937,39,False,,collision,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (5, 4), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (6, 10), (6, 11), (5, 11), (5, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5), (14, 4)]",
9241,VIN_REPLAN,0.0022356015331340285,53,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (5, 4), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (7, 8), (8, 8), (8, 9), (8, 10), (8, 11), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5), (14, 4), (14, 3), (13, 3), (12, 3), (11, 3), (10, 3), (9, 3), (8, 3), (8, 2), (8, 1), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (13, 1), (13, 2)]"
7762,VI,0.012766428713528614,54,True,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15), (2, 15), (3, 15), (3, 14), (3, 13), (4, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (2, 10), (2, 11), (2, 12), (3, 12), (4, 12), (4, 13), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (10, 13), (11, 13), (12, 13), (12, 12), (12, 11), (12, 12), (12, 13), (11, 13), (11, 14), (11, 15), (10, 15), (10, 16), (10, 17)]",Goal Reached,,
7762,VIN,0.007647788083111799,28,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (6, 14), (7, 14), (8, 14), (9, 14), (9, 15), (10, 15), (10, 16), (10, 17)]",
7762,VIN_REPLAN,0.007381243365151542,28,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (6, 14), (7, 14), (8, 14), (9, 14), (9, 15), (10, 15), (10, 16), (10, 17)]"
