seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_puct
15027,PUCT,0.440937649119984,67,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (13, 2), (14, 2), (14, 3), (15, 3), (15, 4), (16, 4), (16, 5), (17, 5), (17, 6), (17, 7), (17, 8), (17, 9), (18, 9), (19, 9), (19, 10), (19, 11), (19, 12), (19, 13), (19, 12), (18, 12), (18, 11), (17, 11), (16, 11), (16, 10), (15, 10), (15, 9), (16, 9), (16, 8), (15, 8), (14, 8), (14, 7), (14, 6), (14, 5), (13, 5), (13, 4), (14, 4), (14, 3), (14, 2), (14, 1), (13, 1), (12, 1), (12, 2), (12, 3), (12, 4), (12, 5), (13, 5), (14, 5), (15, 5), (15, 6), (15, 7)]"
14715,VI,0.021605227304541546,47,True,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (5, 10), (4, 10), (4, 11), (3, 11), (3, 12), (2, 12), (2, 13), (1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (11, 10), (12, 10), (12, 9), (11, 9), (10, 9), (11, 9), (12, 9), (13, 9), (13, 10), (13, 11)]",Goal Reached,,
14715,VIN,0.007539374487740653,43,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (5, 9), (5, 10), (5, 11), (4, 11), (4, 12), (3, 12), (2, 12), (2, 13), (1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (11, 10), (12, 10), (12, 9), (13, 9), (13, 10), (13, 11)]",
14715,PUCT,0.4321903728303455,43,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (4, 9), (5, 9), (5, 10), (5, 11), (4, 11), (4, 12), (3, 12), (2, 12), (2, 13), (1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (10, 10), (11, 10), (12, 10), (12, 9), (13, 9), (13, 10), (13, 11)]"
13251,VI,0.011455989465480897,41,False,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (1, 16), (1, 17), (1, 18), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19), (6, 19), (7, 19), (8, 19), (9, 19), (10, 19), (11, 19), (12, 19), (11, 19), (10, 19), (9, 19), (9, 18), (8, 18), (7, 18), (6, 18), (7, 18), (8, 18)]",Live Lock Detected,,
13251,VIN,0.007852315902709961,12,False,,Live Lock Detected,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (1, 4), (2, 4), (1, 4), (2, 4), (1, 4)]",
13251,PUCT,0.4268711010615031,12,False,,Live Lock Detected,,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (0, 4), (1, 4), (2, 4), (1, 4), (2, 4), (1, 4)]"
16461,VI,0.024082495616032526,14,True,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 9), (3, 9), (3, 8)]",Goal Reached,,
16461,VIN,0.006450446446736654,16,True,,Goal Reached,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 10), (3, 10), (3, 9), (3, 8)]",
16461,PUCT,0.40245966911315917,16,True,,Goal Reached,,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 10), (3, 10), (3, 9), (3, 8)]"
